,researcher_name,skills
10,"Berge, Nicole D.","{'product endocrine', 'lead carbon', 'municipal solid', 'increasing energy', 'berge focus', 'value added', 'value added product production specific area exploration fate disposed nanomaterials', 'disposed nanomaterials', 'manipulated promote', 'personal care product endocrine disrupting compound bioreactor landfill thermochemical conversion municipal solid waste increasing energy yield waste stream resource recovery waste stream leachate treatment process development subsequent evaluation innovative groundwater remediation technology', 'fate disposed', 'technique lead', 'leachate treatment', 'added product', 'compound bioreactor', 'energy generation', 'stream resource', 'process manipulated', 'bioreactor landfill', 'sustainable waste', 'recovery waste', 'thermochemical conversion', 'biological process', 'pharmaceutical', 'treatment process', 'main street', 'endocrine disrupting', 'waste treatment', 'promote sustainable', 'waste stream', 'carbon sequestration', 'process development', 'focus improving', 'production specific', 'stream leachate', 'specific area', 'remediation technology', 'resource recovery', 'development subsequent', 'innovative groundwater', 'disrupting compound', 'room berge', 'treatment technique', 'care product', 'biological process manipulated promote sustainable waste treatment technique lead carbon sequestration', 'improving understanding', 'subsequent evaluation', 'personal care', 'evaluation innovative', 'waste increasing', 'solid waste', 'energy yield', 'landfill thermochemical', 'conversion municipal', 'room berge focus improving understanding physical', 'yield waste', 'chemical', 'understanding physical', 'exploration fate', 'groundwater remediation', 'area exploration', 'product production'}"
11,"Besmann, Theodore  M.","{'nuclear fuel', 'waste material', 'fuel waste', 'nuclear fuel waste material'}"
12,"Bischoff, Jeff ","{'theoretical framework modeling growth tissue', 'mechanic soft', 'soft tissue', 'dr bischoff', 'passive mechanic soft tissue', 'dr bischoff biomedical engineering', 'theoretical framework', 'hypertrophic scar', 'tissue scaffolding', 'growth tissue', 'constitutive testing modeling hypertrophic scar', 'biomedical engineering', 'evolution artificial', 'artificial tissue', 'constitutive testing', 'constitutive evolution', 'framework modeling', 'analysis structural constitutive evolution artificial tissue scaffolding', 'analysis structural', 'testing modeling', 'modeling growth', 'structural constitutive', 'bischoff biomedical', 'modeling hypertrophic', 'passive mechanic'}"
13,"Blanchette, James  Otto","{'sc fall area design cell instructive material', 'signaling three', 'fall area', 'orally extending', 'transplantation genetic', 'main streetcolumbia', 'endothelial cell', 'hydrogel material', 'enhance vascularization', 'engineering specific', 'proper function', 'pancreatic islet', 'blanchette asc', 'spheroid geometry', 'instructive hydrogel', 'therapeutic tissue', 'islet cell', 'tracking hypoxic', 'aggregate transplantation', 'sc fall', 'oxygenation differentially', 'hypoxic signaling', 'room main', 'design instructive', 'material tracking', 'project developing', 'brougham cook blanchette asc spheroid geometry culture oxygenation differentially impact induction pre angiogenic behavior endothelial cell cell transplantation', 'cell following', 'geometry culture', 'three dimensional', 'hanna', 'instructive material', 'delivery therapeutic', 'function pancreatic', 'culture oxygenation', 'differentially impact', 'cell transplantation', 'delivery therapeutic tissue engineering specific project developing responsive delivery system expand spectrum chemotherapeutics administered orally extending proper function pancreatic islet cell following transplantation genetic engineering design instructive hydrogel material tracking hypoxic signaling three dimensional cell aggregate transplantation mesenchymal stem cell enhance vascularization skiles l', 'room main streetcolumbia', 'tissue engineering', 'pre angiogenic', 'cell instructive', 'cell aggregate', 'angiogenic behavior', 'specific project', 'responsive delivery', 'spectrum chemotherapeutics', 'asc spheroid', 'area design', 'dimensional cell', 'chemotherapeutics administered', 'mesenchymal stem', 'expand spectrum', 'transplantation mesenchymal', 'impact induction', 'administered orally', 'vascularization skiles', 'design cell', 'delivery system', 'tipton', 'following transplantation', 'genetic engineering', 'cell cell', 'brougham cook', 'cook blanchette', 'system expand', 'rucker', 'developing responsive', 'stem cell', 'behavior endothelial', 'skiles l', 'cell enhance', 'engineering design', 'extending proper', 'induction pre'}"
14,"Boltin, Nicholas D.","{'mobile decision', 'neural network', 'created deploy', 'support system', 'industry data', 'technique many', 'study jmir', 'mhealth uhealth', 'computer science', 'department mass', 'artificial neural', 'culley', 'focus categorized', 'latest software', 'data mining', 'software development', 'dr boltin', 'many discipline', 'broad area', 'unsupervised machine', 'incident edit', 'information science', 'development human', 'network improve', 'sophisticated algorithm', 'valdes', 'science focus', 'interaction boltin', 'decision support', 'translational informatic', 'categorized two', 'algorithm using', 'data utilizing', 'predictive modeling', 'computer interaction', 'tool emergency', 'science computer', 'evaluate translational', 'triage chemical', 'application dimensional', 'informatic tool', 'incident article', 'employ technique', 'including data', 'dimension reduction', 'culley jm', 'statistical analysis', 'data science', 'initial study', 'focus developing', 'modeling two', 'valafar application dimensional reduction artificial neural network improve emergency department triage chemical mass casualty incident article press boltin', 'glean information', 'boltin focus', 'well predictive', 'information science computer science focus categorized two broad area one', 'healthcare industry', 'article press', 'analytical technique', 'field employ', 'supervised unsupervised machine learning', 'two broad', 'improve emergency', 'reduction artificial', 'machine learning', 'statistic', 'chemical mass', 'mass casualty', 'dimensional reduction', 'edit initial', 'using latest', 'valafar application', 'human computer', 'system healthcare', 'discipline mathematics', 'developing decision', 'deploy sophisticated', 'interdisciplinary field', 'area one', 'supervised unsupervised', 'science interdisciplinary', 'valafar mobile', 'utilizing analytical', 'information data', 'technique including', 'design evaluate translational informatic tool created deploy sophisticated algorithm using latest software development human computer interaction boltin', 'casualty incident', 'well predictive modeling two', 'dr boltin focus developing decision support system healthcare industry data science interdisciplinary field employ technique many discipline mathematics', 'press boltin', 'glean information data utilizing analytical technique including data mining', 'department triage', 'design evaluate', 'emergency department', 'tool created', 'jmir mhealth', 'support tool', 'valafar mobile decision support tool emergency department mass casualty incident edit initial study jmir mhealth uhealth'}"
15,"Booth, Kristen","{'grid resiliency', 'frequency transformer', 'electronics reliability', 'power electronics', 'medium frequency transformer optimization', 'power grid resiliency', 'transformer optimization', 'power grid', 'medium frequency', 'power electronics reliability'}"
16,"Brookshire, Robert G., Ph.D.","{'north texas state', 'president organizational', 'taught new', 'article appeared journal computer information system', 'health information', 'journal computer', 'ha taught', 'author using', 'using microcomputer', 'suite', 'department college', 'editor information', 'james madison co author using microcomputer sage publication', 'social science', 'european journal', 'new york', 'appeared journal', 'science computer', 'professor integrated', 'journal past president organizational system association editor information technology', 'brookshire professor', 'technology program', 'information system', 'learning', 'journal operational', 'european journal operational', 'sc director', 'information technology', 'madison co', 'virginia', 'legislative study', 'columbia', 'systemsitec linux', 'innovation assembly', 'legislative study quarterly', 'technology department', 'study quarterly', 'journal itec', 'james madison', 'social science computer review', 'sc director master health information technology program ha taught new york', 'computer information', 'programming administration', 'robert brookshire', 'texas state', 'organizational system', 'itec record', 'director master', 'sc robert brookshire professor integrated information technology department college engineering computing', 'north texas', 'master health', 'record managementitec', 'assembly street', 'linux programming', 'innovation assembly street', 'sage publication', 'computer review', 'sc robert', 'performance journal', 'system association', 'byte', 'microcomputer sage', 'managementitec mainframe', 'association editor', 'mainframe systemsitec', 'performance journal itec record managementitec mainframe systemsitec linux programming administration', 'co author', 'past president', 'article appeared', 'college engineering', 'engineering computing', 'integrated information', 'program ha', 'journal past'}"
17,"Broughton, Earnie","{'addition writing', 'practice responsibility', 'developer virtual', 'smart ship', 'writing code', 'earnie lead', 'vtb smart', 'requirement developing', 'daily activity', 'project addition', 'student programming', 'activity development', 'mentoring student', 'including mentoring', 'esrdc consortium', 'team project', 'including mentoring student programming professional development best practice responsibility gathering stakeholder navy', 'plan integrating', 'test bed', 'earnie lead software developer virtual test bed vtb smart ship system design project addition writing code', 'stakeholder navy', 'industry requirement', 'best practice', 'private industry', 'consortium education', 'development best', 'programming professional', 'responsibility gathering', 'bed vtb', 'system design', 'supervises daily activity development team project', 'integrating requirement', 'virtual test', 'software developer', 'requirement consortium', 'professional development', 'private industry requirement developing plan integrating requirement consortium education', 'design project', 'supervises daily', 'developing plan', 'lead software', 'development team', 'gathering stakeholder', 'ship system'}"
18,"Buell, Duncan A.","{'programmed vhdl', 'total certified', 'oriented computation', 'whose application', 'co supervising work ward one app', 'problem process', 'performing computation', 'reduced efficiency', 'mathematics text', 'necessary another', 'done string', 'directed splash', 'critical interactive iphone urban renewal columbia sc role evicting resident ward one neighborhood adjacent', 'humanity ha', 'linguistic characteristic', 'data discovering', 'used xilinx', 'sufficient accuracy', 'traditional computer architecture oriented toward floating point computation normally perform significantly reduced efficiency one class problem computational problem number theory fast integer arithmetic', 'often need', 'splash project', 'processing computation', 'often sufficient', 'often multiprecision', 'normally perform', 'application programmed', 'substantial parallelism', 'past included', 'number theory', 'image processing', 'state digital', 'discrete mathematics', 'evicting resident', 'sc role', 'xilinx fpgas', 'urban renewal', 'professor buell', 'uncounted vote', 'compute element', 'recent work', 'support vote', 'computation normally', 'digital humanity', 'point computation', 'theory fast', 'first year', 'devised bit', 'characteristic improvement', 'toward floating', 'resident ward', 'broad class', 'bit oriented', 'ward one', 'system digital', 'bit bit', 'improvement writing', 'professor buell recent work ha electronic voting system digital humanity ha part team auditing election data discovering problem process lead uncounted vote absence data support vote total certified state digital humanity', 'iphone urban', 'algorithm architecture', 'custom computing', 'oriented toward', 'fpgas compute', 'computation done', 'one often', 'problem computational', 'multiprecision arithmetic', 'bit bit arithmetic often sufficient accuracy ida cc directed splash project building custom computing machine used xilinx fpgas compute element whose application programmed vhdl', 'data support', 'ha electronic', 'traditional computer', 'computing machine', 'interactive iphone', 'fast integer', 'text string', 'machine devised', 'english essay', 'often multiprecision arithmetic', 'problem number', 'cc directed', 'class problem', 'significantly reduced', 'one app', 'renewal columbia', 'image processing computation', 'efficiency one', 'writing pedagogy', 'vote total', 'work ward', 'buell past', 'architecture oriented', 'one often need substantial parallelism', 'computer architecture', 'discovering problem', 'role evicting', 'ha part', 'election data', 'element whose', 'part team', 'one class', 'included algorithm', 'computational problem', 'perform significantly', 'another broad', 'analysis first', 'voting system', 'engaged analysis', 'essay linguistic', 'string processing', 'arithmetic often', 'critical interactive', 'columbia sc', 'vote absence', 'discrete mathematics text string processing', 'auditing election', 'bit arithmetic', 'work ha', 'supervising work', 'neighborhood adjacent', 'building custom', 'absence data', 'lead uncounted', 'electronic voting', 'floating point', 'buell recent', 'accuracy ida', 'certified state', 'need substantial', 'team auditing', 'integer arithmetic', 'year english', 'machine used', 'engaged analysis first year english essay linguistic characteristic improvement writing pedagogy professor buell past included algorithm architecture performing computation', 'necessary another broad class problem custom computing machine devised bit oriented computation done string processing', 'architecture performing', 'co supervising', 'problem custom', 'pedagogy professor', 'ida cc', 'project building', 'process lead', 'one neighborhood'}"
19,"Caicedo, Juan","{'structural health', 'engineering emphasis', 'intelligent infrastructure', 'engineering educator', 'earthquake engineering institute', 'structural dynamic', 'society engineering', 'publication visit', 'society civil', 'structural control', 'specialization structural', 'brown jr', 'list project', 'member american', 'civil engineer', 'engineering structural', 'area structural', 'visit structural', 'george brown', 'lab website', 'caicedo area', 'area specialization', 'dynamic numerical', 'jr network', 'american society', 'dr caicedo', 'caicedo member', 'dr caicedo area specialization structural engineering emphasis structural dynamic numerical experimental area structural dynamic', 'experimental area', 'health monitoring', 'dynamic intelligent', 'society experimental', 'structural health monitoring', 'structural engineering', 'educator complete', 'model updating', 'engineering simulation', 'experimental mechanic', 'control dr', 'george brown jr network earthquake engineering simulation', 'network earthquake', 'earthquake engineering', 'society experimental mechanic american society engineering educator complete list project publication visit structural dynamic intelligent infrastructure lab website', 'mechanic american', 'earthquake engineering structural control dr caicedo member american society civil engineer', 'engineering institute', 'emphasis structural', 'infrastructure lab', 'complete list', 'numerical experimental', 'project publication'}"
20,"Carrilho, Leo ","{'cfd method', 'leo carrilho', 'fea cfd', 'nuclear fuel', 'core component', 'structural thermal', 'thermal hydraulic', 'modeling simulation', 'simulation process', 'fuel core', 'pwr nuclear', 'dr leo carrilho modeling simulation process phenomenon structural thermal hydraulic design pwr nuclear fuel core component', 'process phenomenon', 'carrilho modeling', 'phenomenon structural', 'using fea cfd method', 'design pwr', 'using fea', 'dr leo', 'hydraulic design'}"
21,"Carver, Wayne","{'endothelial cell others cell interconnected supported elaborate extracellular matrix change density organization extracellular matrix known affect cardiovascular performance correlated heart disease instance', 'matrix seen', 'stiffer myocardium', 'elaborate extracellular', 'cardiovascular performance', 'excessive accumulation extracellular matrix fibrosis commonly associated hypertension myocardial infarction increased accumulation extracellular matrix seen fibrosis result stiffer myocardium', 'commonly associated', 'matrix known', 'cell interconnected', 'infarction increased', 'sc ventricular', 'expression regulated', 'produced largely', 'medicine bldg', 'cardiac fibroblast', 'largely cardiac', 'dr carver', 'matrix fibrosis', 'particularly interested', 'fibrosis cell', 'type including', 'wall heart', 'disease instance', 'interconnected supported', 'fibroblast behavior', 'seen alcohol', 'change density', 'alters heart', 'focused understanding', 'associated hypertension', 'function extracellular', 'sc ventricular wall heart composed contractile muscle cell non muscle cell type including fibroblast', 'organization extracellular', 'exposure alcohol', 'seen fibrosis', 'including fibroblast', 'hypertension myocardial', 'lab focused', 'model used', 'supported elaborate', 'room garner', 'heart composed', 'affect cardiovascular', 'extracellular matrix', 'excessive accumulation', 'carver lab', 'garner ferry', 'result myocardial', 'contractile muscle', 'ventricular wall', 'abuse result', 'used examine', 'gene expression', 'endothelial cell', 'behavior gene', 'cell others', 'heart produced', 'animal model', 'result stiffer', 'correlated heart', 'cell culture', 'road columbia', 'fibroblast dr', 'muscle cell', 'school medicine bldg room garner ferry road columbia', 'alcohol abuse', 'alters heart function extracellular matrix heart produced largely cardiac fibroblast dr carver lab focused understanding fibroblast behavior gene expression regulated heart particularly interested chronic exposure alcohol seen alcohol abuse result myocardial fibrosis cell culture animal model used examine regulation fibroblast cardiovascular disease', 'regulated heart', 'composed contractile', 'chronic exposure', 'interested chronic', 'myocardial infarction', 'heart particularly', 'ferry road', 'known affect', 'myocardial fibrosis', 'heart disease', 'accumulation extracellular', 'fibrosis result', 'performance correlated', 'cardiovascular disease', 'examine regulation', 'others cell', 'school medicine', 'understanding fibroblast', 'bldg room', 'non muscle', 'regulation fibroblast', 'cell type', 'culture animal', 'alcohol seen', 'density organization', 'increased accumulation', 'fibroblast cardiovascular', 'matrix heart', 'cell non', 'heart function', 'matrix change', 'fibrosis commonly'}"
22,"Chandrashekhar, MVS","{'sic', 'graphene', 'chemistry', 'epitaxy', 'plasmonics'}"
23,"Chao, Yuh J. ","{'uniaxial biaxial', 'june wang bo', 'durability pem fuel cell system cao', 'international journal solid structure', 'june wang', 'experimental numerical', 'pem fuel', 'failure criterion', 'welding modeling residual stress distortion', 'welding modeling', 'bi xiangju', 'fracture fatigue', 'perfect cylindrical', 'assessment specimen', 'fatigue material', 'axial compression', 'system cao', 'solid structure', 'chao yuh', 'buckling quasi perfect cylindrical shell axial compression combined experimental numerical investigation', 'study failure', 'asme journal pressure vessel technology', 'international journal', 'xiangtao', 'chao theoretical', 'hao peng', 'yinbiao niffenegger', 'vessel technology', 'theoretical experimental', 'biaxial loading', 'journal pressure', 'guian', 'specimen tested', 'characterization failure', 'dr chao', 'journal solid', 'quasi perfect', 'material structure', 'residual stress', 'impact mechanic material characterization failure criterion', 'modeling residual', 'constraint assessment', 'cell system', 'constraint assessment specimen tested uniaxial biaxial loading condition', 'tested uniaxial', 'stress distortion', 'loading condition', 'shell axial', 'combined experimental', 'markus chao', 'yupeng qian', 'experimental study', 'buckling quasi', 'fracture fatigue material structure', 'zhu shiyang', 'numerical investigation', 'mechanic material', 'dr chao theoretical experimental study failure', 'impact mechanic', 'cylindrical shell', 'material characterization', 'durability pem', 'pressure vessel', 'fuel cell', 'wang bo', 'dukaifan', 'yuh', 'asme journal', 'vol', 'biomechanics nanomechanics', 'compression combined', 'chen bingquan'}"
24,"Chaudhry, Hanif","{'water resource engineering', 'water resource', 'hydraulic engineering', 'resource engineering', 'hydraulic transient'}"
25,"Chen, Fanglin (Frank)","{'conversion storage', 'dr chen synthesis characterization material energy conversion storage', 'oxide fuel', 'ionic electronic conducting ceramic', 'electrolysis cell', 'dr chen', 'electronic conducting', 'characterization material', 'material energy', 'property relationship', 'ionic electronic', 'solid oxide electrolysis cell', 'solid oxide', 'catalysis electrocatalysis', 'oxide electrolysis', 'conducting ceramic', 'chen synthesis', 'composition', 'gas separation', 'structure property', 'separation membrane', 'synthesis characterization', 'structure property relationship', 'fuel cell', 'energy conversion', 'gas separation membrane', 'solid oxide fuel cell'}"
26,"Chen, Yinchao","{'sc', 'main streetcolumbia', 'swearingenroom main streetcolumbia', 'swearingenroom main'}"
27,"Chen, Yuche","{'aiaugmented simulation', 'data sensing analytics', 'sensing analytics', 'data sensing', 'emerging technology'}"
28,"Cheng, Xu","{'student ha', 'phd student', 'kit germany', 'currently professor', 'supervised supervising', 'year experience', 'institute technology', 'germany shanghai', 'ha year', 'ha supervised', 'field nuclear', 'hydraulics nuclear', 'supervising phd', 'published paper', 'director division', 'nuclear safety', 'shanghai jiao', 'year teaching', 'karlsruhe institute', 'director division innovative nuclear system kit ha supervised supervising phd student kit sjtu give lecture undergraduate master student ha published paper main field nuclear thermal hydraulics nuclear safety', 'cheng ha', 'nuclear system', 'prof cheng ha year experience year teaching experience currently professor karlsruhe institute technology kit germany shanghai jiao tong sjtu china', 'kit sjtu', 'sjtu give', 'thermal hydraulics', 'experience currently', 'jiao tong', 'give lecture', 'student kit', 'undergraduate master', 'nuclear thermal', 'prof cheng', 'master student', 'system kit', 'lecture undergraduate', 'division innovative', 'experience year', 'innovative nuclear', 'tong sjtu', 'teaching experience', 'kit ha', 'sjtu china', 'technology kit', 'ha published', 'paper main', 'professor karlsruhe', 'main field'}"
29,"Cole, Casey","{'computational biology', 'bioinformatics'}"
30,"Coman, Paul","{'thermodynamics', 'liion safety'}"
31,"Crichigno, Jorge","{'programmable switch', 'iot security', 'science dmz'}"
32,"Cui, Taixing","{'bldg room', 'ferry road', 'medicine bldg', 'molecular medicine', 'r china', 'room garner', 'road columbia', 'fourth military medical', 'military medical', 'japan', 'garner ferry', 'fourth military', 'ehime school medicine', 'ehime school', 'sc', 'school medicine', 'school medicine bldg room garner ferry road columbia'}"
33,"De Backer, Wout","{'printing', 'additive manufacturing', 'deposition modeling', 'fused deposition modeling', 'fused deposition'}"
34,"Deng, Xiaomin ","{'dynamic simulation', 'solid mechanic', 'molecular dynamic simulation', 'manufacturing process', 'modeling simulation', 'process simulation', 'manufacturing process simulation', 'molecular dynamic', 'finite element'}"
35,"Devereux, Emily","{'based administrative', 'year administration', 'leadership experience', 'capacity reputation', 'bias federal', 'strategic growth', 'ranking perceived', 'strategic planning', 'concentrated strategic', 'bias funding', 'process based', 'sponsor based', 'funding review', 'national ranking', 'administration leadership', 'focused national', 'experience ha', 'community economic', 'foundation agency', 'institution signal', 'signal competitiveness', 'principal agent', 'ha concentrated', 'past year', 'agent resource', 'dependency theory', 'funding sponsor', 'senior administrator year administration community economic development', 'resource dependency', 'past year administration leadership experience ha concentrated strategic growth', 'economic development', 'administration focused', 'identify contributes', 'contributes perceived', 'based principal', 'competitiveness funding', 'perceived bias', 'review process', 'administrator year', 'reputation goal', 'goal identify', 'development', 'federal foundation', 'student growth', 'administrative capacity', 'senior administrator', 'administration community', 'agency review', 'review enables', 'enables institution', 'administration focused national ranking perceived bias funding review process based administrative capacity reputation goal identify contributes perceived bias federal foundation agency review enables institution signal competitiveness funding sponsor based principal agent resource dependency theory'}"
36,"Dillon, Anthony L","{'public sector', 'instructor undergraduate', 'numerous business', 'educational technology', 'suite', 'partnership relationship', 'clinical instructor', 'within private', 'information technology', 'ha worked', 'brings numerous', 'innovation assembly', 'department integrated', 'internship department', 'technology clinical', 'iit mhit', 'related educational', 'sector related', 'sc dillon director internship department integrated information technology clinical instructor undergraduate graduate program within iit mhit program ha worked within private public sector related educational technology brings numerous business partnership relationship', 'program ha', 'worked within', 'technology brings', 'assembly street', 'innovation assembly street', 'private public', 'business partnership', 'dillon director', 'director internship', 'graduate program', 'program within', 'within iit', 'sc dillon', 'mhit program', 'integrated information', 'undergraduate graduate'}"
