Researcher Name,Processed Skills
"Berge, Nicole D.",added product; area exploration; berge focus; biological process; biological process manipulated promote sustainable waste treatment technique lead carbon sequestration; bioreactor landfill; carbon sequestration; care product; chemical; compound bioreactor; conversion municipal; development subsequent; disposed nanomaterials; disrupting compound; endocrine disrupting; energy generation; energy yield; evaluation innovative; exploration fate; fate disposed; focus improving; groundwater remediation; improving understanding; increasing energy; innovative groundwater; landfill thermochemical; leachate treatment; lead carbon; main street; manipulated promote; municipal solid; personal care; personal care product endocrine disrupting compound bioreactor landfill thermochemical conversion municipal solid waste increasing energy yield waste stream resource recovery waste stream leachate treatment process development subsequent evaluation innovative groundwater remediation technology; pharmaceutical; process development; process manipulated; product endocrine; product production; production specific; promote sustainable; recovery waste; remediation technology; resource recovery; room berge; room berge focus improving understanding physical; solid waste; specific area; stream leachate; stream resource; subsequent evaluation; sustainable waste; technique lead; thermochemical conversion; treatment process; treatment technique; understanding physical; value added; value added product production specific area exploration fate disposed nanomaterials; waste increasing; waste stream; waste treatment; yield waste
"Besmann, Theodore  M.",fuel waste; nuclear fuel; nuclear fuel waste material; waste material
"Bischoff, Jeff ",analysis structural; analysis structural constitutive evolution artificial tissue scaffolding; artificial tissue; biomedical engineering; bischoff biomedical; constitutive evolution; constitutive testing; constitutive testing modeling hypertrophic scar; dr bischoff; dr bischoff biomedical engineering; evolution artificial; framework modeling; growth tissue; hypertrophic scar; mechanic soft; modeling growth; modeling hypertrophic; passive mechanic; passive mechanic soft tissue; soft tissue; structural constitutive; testing modeling; theoretical framework; theoretical framework modeling growth tissue; tissue scaffolding
"Blanchette, James  Otto",administered orally; aggregate transplantation; angiogenic behavior; area design; asc spheroid; behavior endothelial; blanchette asc; brougham cook; brougham cook blanchette asc spheroid geometry culture oxygenation differentially impact induction pre angiogenic behavior endothelial cell cell transplantation; cell aggregate; cell cell; cell enhance; cell following; cell instructive; cell transplantation; chemotherapeutics administered; cook blanchette; culture oxygenation; delivery system; delivery therapeutic; delivery therapeutic tissue engineering specific project developing responsive delivery system expand spectrum chemotherapeutics administered orally extending proper function pancreatic islet cell following transplantation genetic engineering design instructive hydrogel material tracking hypoxic signaling three dimensional cell aggregate transplantation mesenchymal stem cell enhance vascularization skiles l; design cell; design instructive; developing responsive; differentially impact; dimensional cell; endothelial cell; engineering design; engineering specific; enhance vascularization; expand spectrum; extending proper; fall area; following transplantation; function pancreatic; genetic engineering; geometry culture; hanna; hydrogel material; hypoxic signaling; impact induction; induction pre; instructive hydrogel; instructive material; islet cell; main streetcolumbia; material tracking; mesenchymal stem; orally extending; oxygenation differentially; pancreatic islet; pre angiogenic; project developing; proper function; responsive delivery; room main; room main streetcolumbia; rucker; sc fall; sc fall area design cell instructive material; signaling three; skiles l; specific project; spectrum chemotherapeutics; spheroid geometry; stem cell; system expand; therapeutic tissue; three dimensional; tipton; tissue engineering; tracking hypoxic; transplantation genetic; transplantation mesenchymal; vascularization skiles
"Boltin, Nicholas D.",algorithm using; analytical technique; application dimensional; area one; article press; artificial neural; boltin focus; broad area; casualty incident; categorized two; chemical mass; computer interaction; computer science; created deploy; culley; culley jm; data mining; data science; data utilizing; decision support; department mass; department triage; deploy sophisticated; design evaluate; design evaluate translational informatic tool created deploy sophisticated algorithm using latest software development human computer interaction boltin; developing decision; development human; dimension reduction; dimensional reduction; discipline mathematics; dr boltin; dr boltin focus developing decision support system healthcare industry data science interdisciplinary field employ technique many discipline mathematics; edit initial; emergency department; employ technique; evaluate translational; field employ; focus categorized; focus developing; glean information; glean information data utilizing analytical technique including data mining; healthcare industry; human computer; improve emergency; incident article; incident edit; including data; industry data; informatic tool; information data; information science; information science computer science focus categorized two broad area one; initial study; interaction boltin; interdisciplinary field; jmir mhealth; latest software; machine learning; many discipline; mass casualty; mhealth uhealth; mobile decision; modeling two; network improve; neural network; predictive modeling; press boltin; reduction artificial; science computer; science focus; science interdisciplinary; software development; sophisticated algorithm; statistic; statistical analysis; study jmir; supervised unsupervised; supervised unsupervised machine learning; support system; support tool; system healthcare; technique including; technique many; tool created; tool emergency; translational informatic; triage chemical; two broad; unsupervised machine; using latest; utilizing analytical; valafar application; valafar application dimensional reduction artificial neural network improve emergency department triage chemical mass casualty incident article press boltin; valafar mobile; valafar mobile decision support tool emergency department mass casualty incident edit initial study jmir mhealth uhealth; valdes; well predictive; well predictive modeling two
"Booth, Kristen",electronics reliability; frequency transformer; grid resiliency; medium frequency; medium frequency transformer optimization; power electronics; power electronics reliability; power grid; power grid resiliency; transformer optimization
"Brookshire, Robert G., Ph.D.",appeared journal; article appeared; article appeared journal computer information system; assembly street; association editor; author using; brookshire professor; byte; co author; college engineering; columbia; computer information; computer review; department college; director master; editor information; engineering computing; european journal; european journal operational; ha taught; health information; information system; information technology; innovation assembly; innovation assembly street; integrated information; itec record; james madison; james madison co author using microcomputer sage publication; journal computer; journal itec; journal operational; journal past; journal past president organizational system association editor information technology; learning; legislative study; legislative study quarterly; linux programming; madison co; mainframe systemsitec; managementitec mainframe; master health; microcomputer sage; new york; north texas; north texas state; organizational system; past president; performance journal; performance journal itec record managementitec mainframe systemsitec linux programming administration; president organizational; professor integrated; program ha; programming administration; record managementitec; robert brookshire; sage publication; sc director; sc director master health information technology program ha taught new york; sc robert; sc robert brookshire professor integrated information technology department college engineering computing; science computer; social science; social science computer review; study quarterly; suite; system association; systemsitec linux; taught new; technology department; technology program; texas state; using microcomputer; virginia
"Broughton, Earnie",activity development; addition writing; bed vtb; best practice; consortium education; daily activity; design project; developer virtual; developing plan; development best; development team; earnie lead; earnie lead software developer virtual test bed vtb smart ship system design project addition writing code; esrdc consortium; gathering stakeholder; including mentoring; including mentoring student programming professional development best practice responsibility gathering stakeholder navy; industry requirement; integrating requirement; lead software; mentoring student; plan integrating; practice responsibility; private industry; private industry requirement developing plan integrating requirement consortium education; professional development; programming professional; project addition; requirement consortium; requirement developing; responsibility gathering; ship system; smart ship; software developer; stakeholder navy; student programming; supervises daily; supervises daily activity development team project; system design; team project; test bed; virtual test; vtb smart; writing code
"Buell, Duncan A.",absence data; accuracy ida; algorithm architecture; analysis first; another broad; application programmed; architecture oriented; architecture performing; arithmetic often; auditing election; bit arithmetic; bit bit; bit bit arithmetic often sufficient accuracy ida cc directed splash project building custom computing machine used xilinx fpgas compute element whose application programmed vhdl; bit oriented; broad class; buell past; buell recent; building custom; cc directed; certified state; characteristic improvement; class problem; co supervising; co supervising work ward one app; columbia sc; computation done; computation normally; computational problem; compute element; computer architecture; computing machine; critical interactive; critical interactive iphone urban renewal columbia sc role evicting resident ward one neighborhood adjacent; custom computing; data discovering; data support; devised bit; digital humanity; directed splash; discovering problem; discrete mathematics; discrete mathematics text string processing; done string; efficiency one; election data; electronic voting; element whose; engaged analysis; engaged analysis first year english essay linguistic characteristic improvement writing pedagogy professor buell past included algorithm architecture performing computation; english essay; essay linguistic; evicting resident; fast integer; first year; floating point; fpgas compute; ha electronic; ha part; humanity ha; ida cc; image processing; image processing computation; improvement writing; included algorithm; integer arithmetic; interactive iphone; iphone urban; lead uncounted; linguistic characteristic; machine devised; machine used; mathematics text; multiprecision arithmetic; necessary another; necessary another broad class problem custom computing machine devised bit oriented computation done string processing; need substantial; neighborhood adjacent; normally perform; number theory; often multiprecision; often multiprecision arithmetic; often need; often sufficient; one app; one class; one neighborhood; one often; one often need substantial parallelism; oriented computation; oriented toward; part team; past included; pedagogy professor; perform significantly; performing computation; point computation; problem computational; problem custom; problem number; problem process; process lead; processing computation; professor buell; professor buell recent work ha electronic voting system digital humanity ha part team auditing election data discovering problem process lead uncounted vote absence data support vote total certified state digital humanity; programmed vhdl; project building; recent work; reduced efficiency; renewal columbia; resident ward; role evicting; sc role; significantly reduced; splash project; state digital; string processing; substantial parallelism; sufficient accuracy; supervising work; support vote; system digital; team auditing; text string; theory fast; total certified; toward floating; traditional computer; traditional computer architecture oriented toward floating point computation normally perform significantly reduced efficiency one class problem computational problem number theory fast integer arithmetic; uncounted vote; urban renewal; used xilinx; vote absence; vote total; voting system; ward one; whose application; work ha; work ward; writing pedagogy; xilinx fpgas; year english
"Caicedo, Juan",american society; area specialization; area structural; brown jr; caicedo area; caicedo member; civil engineer; complete list; control dr; dr caicedo; dr caicedo area specialization structural engineering emphasis structural dynamic numerical experimental area structural dynamic; dynamic intelligent; dynamic numerical; earthquake engineering; earthquake engineering institute; earthquake engineering structural control dr caicedo member american society civil engineer; educator complete; emphasis structural; engineering educator; engineering emphasis; engineering institute; engineering simulation; engineering structural; experimental area; experimental mechanic; george brown; george brown jr network earthquake engineering simulation; health monitoring; infrastructure lab; intelligent infrastructure; jr network; lab website; list project; mechanic american; member american; model updating; network earthquake; numerical experimental; project publication; publication visit; society civil; society engineering; society experimental; society experimental mechanic american society engineering educator complete list project publication visit structural dynamic intelligent infrastructure lab website; specialization structural; structural control; structural dynamic; structural engineering; structural health; structural health monitoring; visit structural
"Carrilho, Leo ",carrilho modeling; cfd method; core component; design pwr; dr leo; dr leo carrilho modeling simulation process phenomenon structural thermal hydraulic design pwr nuclear fuel core component; fea cfd; fuel core; hydraulic design; leo carrilho; modeling simulation; nuclear fuel; phenomenon structural; process phenomenon; pwr nuclear; simulation process; structural thermal; thermal hydraulic; using fea; using fea cfd method
"Carver, Wayne",abuse result; accumulation extracellular; affect cardiovascular; alcohol abuse; alcohol seen; alters heart; alters heart function extracellular matrix heart produced largely cardiac fibroblast dr carver lab focused understanding fibroblast behavior gene expression regulated heart particularly interested chronic exposure alcohol seen alcohol abuse result myocardial fibrosis cell culture animal model used examine regulation fibroblast cardiovascular disease; animal model; associated hypertension; behavior gene; bldg room; cardiac fibroblast; cardiovascular disease; cardiovascular performance; carver lab; cell culture; cell interconnected; cell non; cell others; cell type; change density; chronic exposure; commonly associated; composed contractile; contractile muscle; correlated heart; culture animal; density organization; disease instance; dr carver; elaborate extracellular; endothelial cell; endothelial cell others cell interconnected supported elaborate extracellular matrix change density organization extracellular matrix known affect cardiovascular performance correlated heart disease instance; examine regulation; excessive accumulation; excessive accumulation extracellular matrix fibrosis commonly associated hypertension myocardial infarction increased accumulation extracellular matrix seen fibrosis result stiffer myocardium; exposure alcohol; expression regulated; extracellular matrix; ferry road; fibroblast behavior; fibroblast cardiovascular; fibroblast dr; fibrosis cell; fibrosis commonly; fibrosis result; focused understanding; function extracellular; garner ferry; gene expression; heart composed; heart disease; heart function; heart particularly; heart produced; hypertension myocardial; including fibroblast; increased accumulation; infarction increased; interconnected supported; interested chronic; known affect; lab focused; largely cardiac; matrix change; matrix fibrosis; matrix heart; matrix known; matrix seen; medicine bldg; model used; muscle cell; myocardial fibrosis; myocardial infarction; non muscle; organization extracellular; others cell; particularly interested; performance correlated; produced largely; regulated heart; regulation fibroblast; result myocardial; result stiffer; road columbia; room garner; sc ventricular; sc ventricular wall heart composed contractile muscle cell non muscle cell type including fibroblast; school medicine; school medicine bldg room garner ferry road columbia; seen alcohol; seen fibrosis; stiffer myocardium; supported elaborate; type including; understanding fibroblast; used examine; ventricular wall; wall heart
"Chandrashekhar, MVS",chemistry; epitaxy; graphene; plasmonics; sic
"Chao, Yuh J. ",asme journal; asme journal pressure vessel technology; assessment specimen; axial compression; bi xiangju; biaxial loading; biomechanics nanomechanics; buckling quasi; buckling quasi perfect cylindrical shell axial compression combined experimental numerical investigation; cell system; chao theoretical; chao yuh; characterization failure; chen bingquan; combined experimental; compression combined; constraint assessment; constraint assessment specimen tested uniaxial biaxial loading condition; cylindrical shell; dr chao; dr chao theoretical experimental study failure; dukaifan; durability pem; durability pem fuel cell system cao; experimental numerical; experimental study; failure criterion; fatigue material; fracture fatigue; fracture fatigue material structure; fuel cell; guian; hao peng; impact mechanic; impact mechanic material characterization failure criterion; international journal; international journal solid structure; journal pressure; journal solid; june wang; june wang bo; loading condition; markus chao; material characterization; material structure; mechanic material; modeling residual; numerical investigation; pem fuel; perfect cylindrical; pressure vessel; quasi perfect; residual stress; shell axial; solid structure; specimen tested; stress distortion; study failure; system cao; tested uniaxial; theoretical experimental; uniaxial biaxial; vessel technology; vol; wang bo; welding modeling; welding modeling residual stress distortion; xiangtao; yinbiao niffenegger; yuh; yupeng qian; zhu shiyang
"Chaudhry, Hanif",hydraulic engineering; hydraulic transient; resource engineering; water resource; water resource engineering
"Chen, Fanglin (Frank)",catalysis electrocatalysis; characterization material; chen synthesis; composition; conducting ceramic; conversion storage; dr chen; dr chen synthesis characterization material energy conversion storage; electrolysis cell; electronic conducting; energy conversion; fuel cell; gas separation; gas separation membrane; ionic electronic; ionic electronic conducting ceramic; material energy; oxide electrolysis; oxide fuel; property relationship; separation membrane; solid oxide; solid oxide electrolysis cell; solid oxide fuel cell; structure property; structure property relationship; synthesis characterization
"Chen, Yinchao",main streetcolumbia; sc; swearingenroom main; swearingenroom main streetcolumbia
"Chen, Yuche",aiaugmented simulation; data sensing; data sensing analytics; emerging technology; sensing analytics
"Cheng, Xu",cheng ha; currently professor; director division; director division innovative nuclear system kit ha supervised supervising phd student kit sjtu give lecture undergraduate master student ha published paper main field nuclear thermal hydraulics nuclear safety; division innovative; experience currently; experience year; field nuclear; germany shanghai; give lecture; ha published; ha supervised; ha year; hydraulics nuclear; innovative nuclear; institute technology; jiao tong; karlsruhe institute; kit germany; kit ha; kit sjtu; lecture undergraduate; main field; master student; nuclear safety; nuclear system; nuclear thermal; paper main; phd student; prof cheng; prof cheng ha year experience year teaching experience currently professor karlsruhe institute technology kit germany shanghai jiao tong sjtu china; professor karlsruhe; published paper; shanghai jiao; sjtu china; sjtu give; student ha; student kit; supervised supervising; supervising phd; system kit; teaching experience; technology kit; thermal hydraulics; tong sjtu; undergraduate master; year experience; year teaching
"Cole, Casey",bioinformatics; computational biology
"Coman, Paul",liion safety; thermodynamics
"Crichigno, Jorge",iot security; programmable switch; science dmz
"Cui, Taixing",bldg room; ehime school; ehime school medicine; ferry road; fourth military; fourth military medical; garner ferry; japan; medicine bldg; military medical; molecular medicine; r china; road columbia; room garner; sc; school medicine; school medicine bldg room garner ferry road columbia
"De Backer, Wout",additive manufacturing; deposition modeling; fused deposition; fused deposition modeling; printing
"Deng, Xiaomin ",dynamic simulation; finite element; manufacturing process; manufacturing process simulation; modeling simulation; molecular dynamic; molecular dynamic simulation; process simulation; solid mechanic
"Devereux, Emily",administration community; administration focused; administration focused national ranking perceived bias funding review process based administrative capacity reputation goal identify contributes perceived bias federal foundation agency review enables institution signal competitiveness funding sponsor based principal agent resource dependency theory; administration leadership; administrative capacity; administrator year; agency review; agent resource; based administrative; based principal; bias federal; bias funding; capacity reputation; community economic; competitiveness funding; concentrated strategic; contributes perceived; dependency theory; development; economic development; enables institution; experience ha; federal foundation; focused national; foundation agency; funding review; funding sponsor; goal identify; ha concentrated; identify contributes; institution signal; leadership experience; national ranking; past year; past year administration leadership experience ha concentrated strategic growth; perceived bias; principal agent; process based; ranking perceived; reputation goal; resource dependency; review enables; review process; senior administrator; senior administrator year administration community economic development; signal competitiveness; sponsor based; strategic growth; strategic planning; student growth; year administration
"Dillon, Anthony L",assembly street; brings numerous; business partnership; clinical instructor; department integrated; dillon director; director internship; educational technology; graduate program; ha worked; iit mhit; information technology; innovation assembly; innovation assembly street; instructor undergraduate; integrated information; internship department; mhit program; numerous business; partnership relationship; private public; program ha; program within; public sector; related educational; sc dillon; sc dillon director internship department integrated information technology clinical instructor undergraduate graduate program within iit mhit program ha worked within private public sector related educational technology brings numerous business partnership relationship; sector related; suite; technology brings; technology clinical; undergraduate graduate; within iit; within private; worked within
"Dougal, Roger A.",across number; activity member; activity related; advanced power; also encompasses; also site; applied study; arkansas seek; associated technology; bed software; better realize; board director; capacity oversees; capacity oversees usc activity related new power generation; center grid; comprehensive simulation; comprehensive simulation virtual prototyping environment multidisciplinary dynamic system environment applied study electric system navy ship; connected advanced; consortium esrdc; control dr; control dr dougal currently supervises dozen graduate student; cooperative center; coordination activity; coordination activity member school prof dougal also site director new nsf sponsored industry cooperative center grid connected advanced power electronic system grape joint project usc arkansas seek insert greater level advanced power electronics utility power grid better realize smart grid since; currently supervises; department dr; development consortium; development virtual; director electric; director new; distribution technology; distribution technology ship; doctoral scholar; dougal also; dougal currently; dougal ha; dougal lead; dougal member; dozen graduate; dr dougal; dynamic system; electric ship; electric system; electrochemical power; electrochemical power source; electronic system; electronics also; electronics utility; encompasses wide; energy system; engineering department; environment applied; environment multidisciplinary; focus power; graduate student; grape joint; greater level; grid better; grid connected; grid since; ha overseen; hybrid power; hybrid power source; industry cooperative; insert greater; joint project; lead power; level advanced; main street; member board; member school; multidisciplinary dynamic; navy ship; new nsf; new power; nsf sponsored; number engineering; number undergraduate; number undergraduate researcher; office naval; overseen development; oversees usc; post doctoral; power electronic; power electronics; power energy; power generation; power grid; power source; principally focus; principally focus power electronics also encompasses wide range associated technology across number engineering department dr dougal member board director electric ship development consortium esrdc; processing; prof dougal; prof dougal ha overseen development virtual test bed software; project usc; prototyping environment; range associated; realize smart; related new; sc dougal; sc dougal lead power energy system group; scholar faculty; school prof; seek insert; several post; several post doctoral scholar faculty; ship development; simulation virtual; site director; smart grid; sponsored industry; sponsorship office; sponsorship office naval; street columbia; study electric; supervises dozen; swearingenroom main; swearingenroom main street columbia; system environment; system grape; system group; system navy; technology across; technology ship; test bed; undergraduate researcher; usc activity; usc arkansas; utility power; virtual prototyping; virtual test; wide range
"Downey, Austin",health monitoring; realtime system; structural health; structural health monitoring
"Dryer, Frederick  L. ",abatement petroleum; ability address; ability address energy security reduction net carbon cycle emission well pollutant concern fire safety related issue earth micro gravity environment solid phase gas phase interaction related particle burning phenomenon nano catalyst material emission internal combustion engine; address energy; aerosol particulate; aerosol particulate emission interaction including chlorine; air breathing; alternative fuel; application driven; ash metal; breathing propulsion; burning phenomenon; carbon cycle; catalyst material; chemical kinetic; chemical kinetic property; chemical kinetics; chemical kinetics relevant space air breathing propulsion; chemical processing; chemistry chemical; combustion; combustion engine; combustion property; combustion related; combustion related pollutant mitigation; component effect; concern fire; conversion related; current chemistry; cycle emission; derived alternative; derived fuel; diesel; dr dryer; driven fundamental; dryer current; dryer ha; earth micro; effect stationary; emission generation; emission generation abatement petroleum derived fuel; emission interaction; emission internal; emission well; energy conversion; energy security; environment solid; experience thermal; fire safety; fire safety dr dryer current chemistry chemical kinetics fuel hazardous waste material related ignition; fluid dynamic; fossil renewable; fossil renewable energy conversion related ground transportation stationary power generation; fuel hazardous; fuel oil; fundamental experience; gas phase; gas turbine; generation abatement; gravity environment; ground transportation; ha year; hazardous waste; heat transfer; heavy fuel; heavy fuel oil combustion property non petroleum derived alternative fuel; incineration; including chlorine; including gasoline; including hydrocarbon; interaction including; interaction related; internal combustion; issue earth; kinetic property; kinetics fuel; kinetics relevant; main street; material emission; material related; metal component; micro gravity; nano catalyst; net carbon; nitrogen oxide; non petroleum; oil combustion; particle burning; particulate emission; petroleum derived; phase gas; phase interaction; phenomenon nano; physical chemistry; pollutant concern; pollutant mitigation; power generation; production; property non; reduction net; related ground; related ignition; related issue; related particle; related pollutant; relevant space; renewable energy; rm carolinacolumbia; safety dr; safety related; sc dryer; sc dryer ha year application driven fundamental experience thermal science heat transfer; science heat; security reduction; solid phase; space air; stationary energy; stationary power; sulfur ash; sulfur ash metal component effect stationary energy conversion; thermal science; transportation stationary; waste material; well pollutant; year application
"Eastman, Caroline M. ",addressed broad; algorithm information; also working; area ha; bowles nsf; broad spectrum; co director; colleague problem; correct find; database security; director professor; easily quickly; easily quickly find useful correct find work area ha addressed broad spectrum problem; eastman focus; effective efficient; efficient algorithm; efficient file; efficient file organization search interface user interaction ha also working colleague problem database security pi co director professor bowles nsf experience undergraduate site; experience undergraduate; file organization; find useful; find work; focus effective; ha addressed; ha also; information retrieval; interaction ha; interface user; nsf experience; organization search; pi co; problem database; professor bowles; professor eastman; professor eastman focus effective efficient algorithm information retrieval want information; quickly find; retrieval want; search interface; security pi; spectrum problem; undergraduate site; useful correct; user interaction; want information; work area; working colleague
"Eberth, John F.",biomechanics; biomedical engineering; cardiovascular; mechanobiology
"Ebner, Armin D.",application external; application magnetic; area technique; assist magnetic; become energized; cancer treatment; catholic chile; chile; collect particle; collection manipulation; collection manipulation magnetic particle fluid medium; collection otherwise; consists use; control well; create magnetic; drug targeting; ebner major; ebner major application magnetic field separation; element result; embolization control; embolization control well rapid detoxification; emphasis potential; emphasis use; energized create; enough collect; external magnetic; ferromagnetic element; field become; field separation; fine ferromagnetic; fluid medium; found medical; gradient large; gradient magnetic; hgms found; hgms principle; high gradient; large enough; low magnetism; magnetic drug; magnetic field; magnetic gradient; magnetic particle; magnetic separation; magnetism collection; major application; major emphasis; manipulation magnetic; medical area; otherwise realized; particle fluid; particle small; particular emphasis; particular emphasis use high gradient magnetic separation hgms principle technique consists use fine ferromagnetic element result application external magnetic field become energized create magnetic gradient large enough collect particle small size low magnetism collection otherwise realized today major emphasis potential hgms found medical area technique used assist magnetic drug targeting cancer treatment; ph; potential hgms; principle technique; rapid detoxification; realized today; restenosis; result application; separation hgms; size low; small size; targeting cancer; technique consists; technique used; today major; use fine; use high; used assist; well rapid
"Eslambolchi Moghadam, Sara",drug discovery; medicinal plant; natural product; wound healing
