,researcher_name,skills
18,"Buell, Duncan A.","{'work ha', 'arithmetic often', 'pedagogy professor', 'oriented toward', 'ward one', 'one often need substantial parallelism', 'iphone urban', 'broad class', 'algorithm architecture', 'improvement writing', 'digital humanity', 'often multiprecision', 'evicting resident', 'project building', 'mathematics text', 'professor buell', 'co supervising', 'supervising work', 'traditional computer architecture oriented toward floating point computation normally perform significantly reduced efficiency one class problem computational problem number theory fast integer arithmetic', 'voting system', 'included algorithm', 'one neighborhood', 'machine used', 'theory fast', 'number theory', 'integer arithmetic', 'vote total', 'support vote', 'string processing', 'recent work', 'buell past', 'architecture performing', 'computer architecture', 'significantly reduced', 'ha part', 'bit arithmetic', 'directed splash', 'first year', 'floating point', 'done string', 'traditional computer', 'process lead', 'substantial parallelism', 'electronic voting', 'building custom', 'devised bit', 'machine devised', 'cc directed', 'team auditing', 'data discovering', 'whose application', 'efficiency one', 'essay linguistic', 'discrete mathematics text string processing', 'often multiprecision arithmetic', 'compute element', 'uncounted vote', 'discrete mathematics', 'splash project', 'critical interactive', 'bit bit', 'necessary another broad class problem custom computing machine devised bit oriented computation done string processing', 'vote absence', 'past included', 'text string', 'critical interactive iphone urban renewal columbia sc role evicting resident ward one neighborhood adjacent', 'reduced efficiency', 'oriented computation', 'performing computation', 'system digital', 'election data', 'ha electronic', 'point computation', 'auditing election', 'used xilinx', 'problem process', 'one often', 'part team', 'often sufficient', 'work ward', 'multiprecision arithmetic', 'one class', 'element whose', 'often need', 'sc role', 'professor buell recent work ha electronic voting system digital humanity ha part team auditing election data discovering problem process lead uncounted vote absence data support vote total certified state digital humanity', 'linguistic characteristic', 'columbia sc', 'toward floating', 'interactive iphone', 'year english', 'fast integer', 'custom computing', 'class problem', 'computation normally', 'data support', 'application programmed', 'one app', 'computational problem', 'accuracy ida', 'another broad', 'ida cc', 'absence data', 'need substantial', 'renewal columbia', 'programmed vhdl', 'discovering problem', 'resident ward', 'architecture oriented', 'characteristic improvement', 'total certified', 'urban renewal', 'problem custom', 'processing computation', 'engaged analysis first year english essay linguistic characteristic improvement writing pedagogy professor buell past included algorithm architecture performing computation', 'role evicting', 'fpgas compute', 'xilinx fpgas', 'buell recent', 'sufficient accuracy', 'neighborhood adjacent', 'co supervising work ward one app', 'computing machine', 'problem computational', 'image processing', 'writing pedagogy', 'certified state', 'computation done', 'perform significantly', 'problem number', 'lead uncounted', 'bit oriented', 'image processing computation', 'necessary another', 'bit bit arithmetic often sufficient accuracy ida cc directed splash project building custom computing machine used xilinx fpgas compute element whose application programmed vhdl', 'english essay', 'engaged analysis', 'analysis first', 'normally perform', 'humanity ha', 'state digital'}"
19,"Caicedo, Juan","{'george brown', 'dynamic intelligent', 'mechanic american', 'structural health', 'earthquake engineering structural control dr caicedo member american society civil engineer', 'structural dynamic', 'dr caicedo', 'health monitoring', 'caicedo member', 'area specialization', 'intelligent infrastructure', 'structural health monitoring', 'civil engineer', 'earthquake engineering', 'project publication', 'experimental area', 'area structural', 'brown jr', 'visit structural', 'structural control', 'structural engineering', 'engineering structural', 'caicedo area', 'control dr', 'infrastructure lab', 'model updating', 'society experimental', 'engineering educator', 'george brown jr network earthquake engineering simulation', 'list project', 'engineering institute', 'engineering simulation', 'dr caicedo area specialization structural engineering emphasis structural dynamic numerical experimental area structural dynamic', 'specialization structural', 'network earthquake', 'complete list', 'earthquake engineering institute', 'american society', 'publication visit', 'engineering emphasis', 'numerical experimental', 'dynamic numerical', 'lab website', 'jr network', 'emphasis structural', 'society engineering', 'society experimental mechanic american society engineering educator complete list project publication visit structural dynamic intelligent infrastructure lab website', 'society civil', 'educator complete', 'experimental mechanic', 'member american'}"
20,"Carrilho, Leo ","{'thermal hydraulic', 'using fea cfd method', 'cfd method', 'leo carrilho', 'phenomenon structural', 'dr leo', 'pwr nuclear', 'nuclear fuel', 'using fea', 'modeling simulation', 'carrilho modeling', 'fea cfd', 'fuel core', 'structural thermal', 'process phenomenon', 'design pwr', 'dr leo carrilho modeling simulation process phenomenon structural thermal hydraulic design pwr nuclear fuel core component', 'simulation process', 'hydraulic design', 'core component'}"
21,"Carver, Wayne","{'extracellular matrix', 'seen alcohol', 'used examine', 'associated hypertension', 'non muscle', 'interconnected supported', 'endothelial cell others cell interconnected supported elaborate extracellular matrix change density organization extracellular matrix known affect cardiovascular performance correlated heart disease instance', 'hypertension myocardial', 'supported elaborate', 'heart produced', 'cardiovascular disease', 'increased accumulation', 'endothelial cell', 'stiffer myocardium', 'fibroblast behavior', 'contractile muscle', 'density organization', 'school medicine', 'particularly interested', 'room garner', 'ferry road', 'infarction increased', 'fibrosis commonly', 'fibrosis result', 'performance correlated', 'myocardial fibrosis', 'fibroblast cardiovascular', 'accumulation extracellular', 'cell others', 'animal model', 'model used', 'regulated heart', 'culture animal', 'seen fibrosis', 'excessive accumulation extracellular matrix fibrosis commonly associated hypertension myocardial infarction increased accumulation extracellular matrix seen fibrosis result stiffer myocardium', 'matrix known', 'fibrosis cell', 'chronic exposure', 'fibroblast dr', 'regulation fibroblast', 'heart particularly', 'school medicine bldg room garner ferry road columbia', 'known affect', 'focused understanding', 'largely cardiac', 'including fibroblast', 'gene expression', 'heart function', 'cell interconnected', 'excessive accumulation', 'wall heart', 'alcohol seen', 'abuse result', 'matrix change', 'alcohol abuse', 'carver lab', 'road columbia', 'understanding fibroblast', 'cardiovascular performance', 'disease instance', 'expression regulated', 'cell culture', 'cardiac fibroblast', 'exposure alcohol', 'composed contractile', 'sc ventricular', 'heart disease', 'elaborate extracellular', 'ventricular wall', 'garner ferry', 'others cell', 'bldg room', 'sc ventricular wall heart composed contractile muscle cell non muscle cell type including fibroblast', 'change density', 'result myocardial', 'examine regulation', 'commonly associated', 'alters heart', 'organization extracellular', 'behavior gene', 'matrix fibrosis', 'type including', 'affect cardiovascular', 'dr carver', 'interested chronic', 'function extracellular', 'lab focused', 'cell type', 'correlated heart', 'matrix heart', 'myocardial infarction', 'alters heart function extracellular matrix heart produced largely cardiac fibroblast dr carver lab focused understanding fibroblast behavior gene expression regulated heart particularly interested chronic exposure alcohol seen alcohol abuse result myocardial fibrosis cell culture animal model used examine regulation fibroblast cardiovascular disease', 'heart composed', 'cell non', 'produced largely', 'muscle cell', 'medicine bldg', 'result stiffer', 'matrix seen'}"
22,"Chandrashekhar, MVS","{'sic', 'chemistry', 'epitaxy', 'plasmonics', 'graphene'}"
23,"Chao, Yuh J. ","{'chen bingquan', 'material structure', 'stress distortion', 'guian', 'theoretical experimental', 'welding modeling residual stress distortion', 'study failure', 'cylindrical shell', 'quasi perfect', 'experimental numerical', 'international journal', 'fuel cell', 'dukaifan', 'welding modeling', 'chao yuh', 'fatigue material', 'mechanic material', 'asme journal pressure vessel technology', 'perfect cylindrical', 'dr chao theoretical experimental study failure', 'cell system', 'biomechanics nanomechanics', 'yupeng qian', 'hao peng', 'material characterization', 'durability pem fuel cell system cao', 'yuh', 'pressure vessel', 'constraint assessment specimen tested uniaxial biaxial loading condition', 'dr chao', 'xiangtao', 'biaxial loading', 'tested uniaxial', 'journal pressure', 'combined experimental', 'failure criterion', 'vessel technology', 'characterization failure', 'yinbiao niffenegger', 'pem fuel', 'loading condition', 'markus chao', 'durability pem', 'system cao', 'wang bo', 'impact mechanic', 'bi xiangju', 'buckling quasi', 'compression combined', 'solid structure', 'fracture fatigue material structure', 'specimen tested', 'asme journal', 'journal solid', 'residual stress', 'chao theoretical', 'experimental study', 'uniaxial biaxial', 'buckling quasi perfect cylindrical shell axial compression combined experimental numerical investigation', 'international journal solid structure', 'shell axial', 'vol', 'axial compression', 'zhu shiyang', 'constraint assessment', 'numerical investigation', 'fracture fatigue', 'june wang', 'june wang bo', 'assessment specimen', 'impact mechanic material characterization failure criterion', 'modeling residual'}"
24,"Chaudhry, Hanif","{'water resource engineering', 'hydraulic transient', 'resource engineering', 'hydraulic engineering', 'water resource'}"
25,"Chen, Fanglin (Frank)","{'solid oxide electrolysis cell', 'synthesis characterization', 'solid oxide', 'electronic conducting', 'dr chen', 'gas separation', 'characterization material', 'conversion storage', 'dr chen synthesis characterization material energy conversion storage', 'catalysis electrocatalysis', 'fuel cell', 'solid oxide fuel cell', 'electrolysis cell', 'conducting ceramic', 'oxide electrolysis', 'ionic electronic', 'oxide fuel', 'separation membrane', 'chen synthesis', 'structure property', 'property relationship', 'structure property relationship', 'gas separation membrane', 'energy conversion', 'material energy', 'composition', 'ionic electronic conducting ceramic'}"
26,"Chen, Yinchao","{'sc', 'swearingenroom main', 'swearingenroom main streetcolumbia', 'main streetcolumbia'}"
27,"Chen, Yuche","{'data sensing', 'sensing analytics', 'aiaugmented simulation', 'data sensing analytics', 'emerging technology'}"
28,"Cheng, Xu","{'technology kit', 'nuclear safety', 'ha published', 'system kit', 'cheng ha', 'innovative nuclear', 'kit ha', 'field nuclear', 'director division innovative nuclear system kit ha supervised supervising phd student kit sjtu give lecture undergraduate master student ha published paper main field nuclear thermal hydraulics nuclear safety', 'sjtu china', 'experience currently', 'master student', 'phd student', 'kit germany', 'nuclear system', 'thermal hydraulics', 'supervising phd', 'institute technology', 'published paper', 'jiao tong', 'lecture undergraduate', 'hydraulics nuclear', 'ha year', 'prof cheng ha year experience year teaching experience currently professor karlsruhe institute technology kit germany shanghai jiao tong sjtu china', 'germany shanghai', 'year teaching', 'tong sjtu', 'paper main', 'director division', 'ha supervised', 'student kit', 'student ha', 'professor karlsruhe', 'give lecture', 'experience year', 'undergraduate master', 'year experience', 'teaching experience', 'karlsruhe institute', 'currently professor', 'supervised supervising', 'prof cheng', 'main field', 'nuclear thermal', 'shanghai jiao', 'division innovative', 'sjtu give', 'kit sjtu'}"
29,"Cole, Casey","{'bioinformatics', 'computational biology'}"
30,"Coman, Paul","{'thermodynamics', 'liion safety'}"
31,"Crichigno, Jorge","{'programmable switch', 'science dmz', 'iot security'}"
32,"Cui, Taixing","{'fourth military', 'military medical', 'garner ferry', 'school medicine', 'fourth military medical', 'sc', 'molecular medicine', 'bldg room', 'japan', 'room garner', 'ferry road', 'medicine bldg', 'ehime school medicine', 'road columbia', 'r china', 'school medicine bldg room garner ferry road columbia', 'ehime school'}"
33,"De Backer, Wout","{'fused deposition modeling', 'printing', 'additive manufacturing', 'deposition modeling', 'fused deposition'}"
34,"Deng, Xiaomin ","{'process simulation', 'molecular dynamic simulation', 'finite element', 'modeling simulation', 'manufacturing process simulation', 'molecular dynamic', 'manufacturing process', 'dynamic simulation', 'solid mechanic'}"
35,"Devereux, Emily","{'based principal', 'dependency theory', 'past year', 'ranking perceived', 'foundation agency', 'agent resource', 'resource dependency', 'bias funding', 'community economic', 'capacity reputation', 'administrator year', 'reputation goal', 'year administration', 'based administrative', 'review process', 'funding sponsor', 'past year administration leadership experience ha concentrated strategic growth', 'senior administrator year administration community economic development', 'concentrated strategic', 'strategic planning', 'signal competitiveness', 'strategic growth', 'leadership experience', 'experience ha', 'funding review', 'perceived bias', 'administration leadership', 'focused national', 'national ranking', 'process based', 'administrative capacity', 'administration focused', 'federal foundation', 'administration focused national ranking perceived bias funding review process based administrative capacity reputation goal identify contributes perceived bias federal foundation agency review enables institution signal competitiveness funding sponsor based principal agent resource dependency theory', 'agency review', 'competitiveness funding', 'ha concentrated', 'review enables', 'sponsor based', 'identify contributes', 'senior administrator', 'development', 'institution signal', 'administration community', 'economic development', 'principal agent', 'student growth', 'bias federal', 'contributes perceived', 'goal identify', 'enables institution'}"
36,"Dillon, Anthony L","{'technology clinical', 'partnership relationship', 'related educational', 'undergraduate graduate', 'brings numerous', 'dillon director', 'within iit', 'sector related', 'innovation assembly street', 'suite', 'director internship', 'department integrated', 'integrated information', 'business partnership', 'innovation assembly', 'educational technology', 'numerous business', 'private public', 'assembly street', 'information technology', 'worked within', 'program within', 'technology brings', 'graduate program', 'mhit program', 'within private', 'instructor undergraduate', 'sc dillon director internship department integrated information technology clinical instructor undergraduate graduate program within iit mhit program ha worked within private public sector related educational technology brings numerous business partnership relationship', 'sc dillon', 'public sector', 'internship department', 'clinical instructor', 'ha worked', 'iit mhit', 'program ha'}"
